餐次,食物名称,主要成分,食物编码,可食部（克/份）,食用份数,碳水化合物 (g/100g),蛋白质 (g/100g),脂肪 (g/100g),钙 (mg/100g),铁 (mg/100g),锌 (mg/100g),维生素A (μg/100g),维生素B1 (mg/100g),维生素B2 (mg/100g),维生素C (mg/100g),异亮氨酸 (g/100g),亮氨酸 (g/100g),赖氨酸 (g/100g),含硫氨基酸 (g/100g),芳香族氨基酸 (g/100g),苏氨酸 (g/100g),色氨酸 (g/100g),缬氨酸 (g/100g)
早餐,豆浆,黄豆,31101,10,1,11.1,35.1,18.4,120,6.6,2.2,90,0.4,0.2,0,5,5.6,0.5,0.7,0.5,0.3,0.1,0.7
早餐,鸡排面,小麦粉,011201x,50,1,70,10.5,1.8,13,3.3,0.6,0,0.4,0.1,0,4.5,8,0.25,0.6,0.6,0.4,0.11,0.5
早餐,鸡排面,鸡肉,91112,40,1,0,23,6,11,1.2,1.4,40,0.1,0.2,0,0,0,0,0,0,0,0,0
早餐,鸡排面,豆油,192004,5,1,0,0,99.9,1,0.1,0,0,0,0,0,5,9,0.93,1,1,0.5,0.17,0.65
午餐,鸡蛋饼,小麦粉,011201x,25,1,70,10.5,1.8,13,3.3,0.6,0,0.4,0.1,0,0,0,0,0,0,0,0,0
午餐,鸡蛋饼,鸡蛋,111101x,20,1,2.5,13.1,10.6,49,2.7,0.5,140,0.1,0.5,0,0.5,1,0.1,0.2,0.2,0.1,0.02,0.12
午餐,鸡蛋饼,火腿肠,81409,20,1,9,14,26,62,1.3,0.4,0,0.1,0.1,0,0,0,0,0,0,0,0,0
午餐,鸡蛋饼,豆油,192004,5,1,0,0,99.9,1,0.1,0,0,0,0,0,3,5,0.3,0.4,0.4,0.3,0.08,0.35
午餐,水饺,小麦粉,011201x,50,1,70,10.5,1.8,13,3.3,0.6,0,0.4,0.1,0,0.6,1.2,0.15,0.1,0.2,0.2,0.03,0.2
午餐,水饺,猪肉,081111x,20,1,0,20.6,39.8,11,1.2,1.4,20,0.1,0.1,0,0,0,0,0,0,0,0,0
午餐,水饺,白菜,045101x,40,1,3.6,1.5,0.2,50,1,0.4,50,0.1,0.1,60,0.2,0.4,0.03,0,0,0.05,0.01,0.04
午餐,水饺,豆油,192004,10,1,0,0,99.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
午餐,葡萄,葡萄,063101x,100,1,18,0.5,0.3,10,0.3,0.1,5,0.05,0.05,5,0.5,1,0.06,0.1,0.1,0.08,0.02,0.1
晚餐,大米饭,稻米,012001x,25,2,77.2,7.4,0.6,10,1.6,1.1,0,0.05,0.01,0,0,0,0,0,0,0,0,0
晚餐,香菇炒油菜,油菜,45125,100,0.5,3.8,2,0.4,115,4.2,1.2,2600,0.1,0.2,0,6,10,1,1.5,1,0.6,0.2,0.9
晚餐,香菇炒油菜,香菇,51019,20,0.5,5,2.2,0.3,3,1.4,0.5,0,0.01,0.1,2,8,14,2.5,3,2,0.8,0.5,1.6
晚餐,香菇炒油菜,豆油,192004,5,0.5,0,0,99.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
晚餐,炒肉蒜台,蒜台,44106,100,0.5,5.4,2,0.2,32,1.3,0.7,0,0.1,0.1,0,4,7,0.25,0.5,0.5,0.3,0.06,0.4
晚餐,炒肉蒜台,猪肉,081111x,30,0.5,0,20.6,39.8,11,1.2,1.4,20,0.1,0.1,0,0.5,1,0.05,0.1,0.1,0.06,0.01,0.07
晚餐,炒肉蒜台,豆油,192004,5,0.5,0,0,99.9,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
晚餐,茄汁沙丁鱼,茄汁沙丁鱼,121417,100,0.5,0,22,12,500,2.5,0.8,2000,0.05,0.3,0,8,14,2.5,3,2,0.8,0.5,1.6
晚餐,苹果,苹果,061101x,100,1,25,0.3,0.2,6,0.2,0.1,3,0.02,0.02,5,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
