餐次,序号,食物名称,主要成分,食物编码,可食部 (克/份),价格 (元/份）,是否可半份,水分 (g/100g),能量 (kcal/100g),能量 (kJ/100g),蛋白质 (g/100g),脂肪 (g/100g),碳水化合物 (g/100g),不溶性膳食纤维 (g/100g),胆固醇 (mg/100g),灰分 (g/100g),总维生素A (μg/100g),胡萝卜素 (μg/100g),视黄醇 (μg/100g),硫胺素 (μg/100g),核黄素 (mg/100g),烟酸 (mg/100g),维生素C (mg/100g),钙 (mg/100g),磷 (mg/100g),钾 (mg/100g),钠 (mg/100g),镁 (mg/100g),铁 (mg/100g),锌 (mg/100g),硒 (mg/100g),铜 (mg/100g),锰 (mg/100g),异亮氨酸 (mg/100g),亮氨酸 (mg/100g),赖氨酸 (mg/100g),含硫氨基酸(SAA)_Total (mg/100g),含硫氨基酸(SAA)_蛋氨酸 (mg/100g),含硫氨基酸(SAA)_胱氨酸 (mg/100g),芳香族氨基酸(AAA)_Total (mg/100g),芳香族氨基酸(AAA)_苯丙氨酸 (mg/100g),芳香族氨基酸(AAA)_酪氨酸 (mg/100g),苏氨酸 (mg/100g),色氨酸 (mg/100g),缬氨酸 (mg/100g),精氨酸 (mg/100g),组氨酸 (mg/100g),丙氨酸 (mg/100g),天冬氨酸 (mg/100g),谷氨酸 (mg/100g),甘氨酸 (mg/100g),脯氨酸 (mg/100g),丝氨酸 (mg/100g)
早餐,1,牛奶,牛奶,101101x,200,1.5,0,87.6,65,271,3.3,3.6,4.9,0,17,0.7,54,0,54,0.03,0.12,0.11,0,107,90,180,63.7,11,0.3,0.28,1.34,0.01,0.01,146,291,230,92,70,22,254,140,114,132,54,178,94,78,94,229,639,54,289,166
早餐,2,酸奶,酸奶,103001,125,1.5,0,85.5,70,295,3.2,1.9,10,0,15,0.7,19,0,19,0.03,0.14,0.1,1,140,90,135,32.5,11,0.2,0.54,1.19,0.01,0.02,142,259,208,26,0,26,257,123,134,121,48,155,95,74,94,217,590,53,238,150
早餐,3,豆浆,黄豆,31101,10,1.5,0,10.2,390,1631,35,16,34.2,15.5,0,4.6,18,220,0,0.41,0.2,2.1,0,191,465,1503,2.2,199,8.2,3.34,6.16,1.35,2.26,1853,2819,2237,902,385,517,3013,1844,1169,1435,455,1726,2840,968,1542,3997,6258,1600,1863,1846
早餐,4,大米粥,稻米,012001x,15,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
早餐,5,小米粥,小米,15101,15,0.5,0,11.6,361,1511,9,3.1,75.1,1.6,0,1.2,8,100,0,0.33,0.1,1.5,0,41,229,284,4.3,107,5.1,1.87,4.74,0.54,0.89,392,1166,176,512,291,221,753,494,259,327,178,483,315,168,803,682,1871,245,658,408
早餐,6,大米饭,稻米,012001x,25,0.5,0,13.3,346,1453,7.9,0.9,77.2,0.6,0,0.7,0,0,0,0.15,0.04,2,0,8,112,112,1.8,31,1.1,1.54,2.83,0.25,1.13,319,611,260,332,162,170,723,421,302,262,124,426,570,161,420,650,1250,305,324,360
早餐,7,馒头,小麦粉,011201x,50,1,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,8,花卷,小麦粉,011201x,50,1,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,9,油条,小麦粉,011201x,50,1.5,0,11.2,359,1512,12.4,1.7,74.1,0.8,0,0.7,0,0,0,0.2,0.06,1.57,0,28,136,185,14.1,53,1.4,0.69,7.1,0.23,0.37,402,837,271,460,174,286,946,611,335,337,123,510,451,234,391,529,4074,460,1369,573
早餐,9,油条,豆油,192004,10,1.5,0,0.1,899,3761,0,99.9,0,0,0,0,0,0,0,0,0,0,0,13,7,3,4.9,3,2,1.09,0,0.16,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
